theta0_rad,controller,status,rise_time,settling_time,peak_overshoot_pct,peak_time,steady_state_error,rmse,iae,itae,ise,control_energy,peak_control,slew_rate,saturation_pct
0.05,balanced,Stable,0.0,0.17,0.0,0.0,1.2624954530482867e-06,0.0073903372374385145,0.02487120440143928,0.023946831765229284,0.00043454591003098,0.5814650653484504,4.356884093803879,186.83971063414867,0.0
0.05,aggressive,Stable,0.0,0.1,0.0,0.0,0.0002778813841952791,0.00462482113736097,0.01278629659868764,0.017896966746598707,0.00016865447736000915,2.8826467003788383,18.24184042872375,10718.302243287646,0.0
0.05,soft,Stable,0.0,0.306,0.0,0.0,3.232786908946407e-05,0.009625699700375006,0.039830307678028594,0.05837568992198017,0.000738918062278854,0.23840449657228668,1.5423215797568541,8.185756740478164,0.0
0.1,balanced,Stable,0.0,1.046,0.0,0.0,2.538234840095293e-06,0.014814156579989305,0.04992287361393613,0.04810701590469036,0.001746112799871586,2.341385824973397,8.713768187607759,743.381238700409,0.0
0.1,aggressive,Stable,0.0,0.152,0.0,0.0,0.0005788202935619447,0.009542401212308,0.026641054180261428,0.03730359022970005,0.0007186411996795125,9.607332073071145,20.0,14155.17993988693,0.1875
0.1,soft,Stable,0.0,1.7,0.0,0.0,6.50371724249738e-05,0.019285387401289218,0.07988203299671859,0.11716148130696882,0.002966153175202055,0.958937974309673,3.0846431595137083,32.62579085560081,0.0
0.15,balanced,Stable,0.0,1.192,0.0,0.0,3.840922683106105e-06,0.022306155032463776,0.07534054223106502,0.07269826015071029,0.003959011547739627,5.327088640409644,13.070652281411636,1657.8056366942953,0.0
0.15,aggressive,Stable,0.0,0.182,0.0,0.0,0.000928269078271197,0.01504604368661437,0.0427571855993703,0.05990118230628075,0.0017890194844059838,16.68506745728324,20.0,16565.525813977485,0.3875
0.15,soft,Stable,0.0,1.964,0.0,0.0,9.853398887987714e-05,0.029013848547973897,0.12038061040605043,0.17677433364153516,0.006713610833348495,2.1777838543469654,4.626964739270562,72.97256107455898,0.0
0.2,balanced,Stable,0.0,1.27,0.0,0.0,5.18521961147688e-06,0.029903502919199475,0.10131671389706148,0.09794600192970467,0.007115544333639536,9.620013737552732,17.427536375215517,2910.79592258198,0.0
0.2,aggressive,Stable,0.0,0.774,0.0,0.0,0.0013331874467096777,0.02110953061498335,0.06136195788080218,0.08616206187962913,0.0035257879836803232,24.10258723416361,20.0,19157.073404997805,0.5875
0.2,soft,Stable,0.0,2.1159999999999997,0.0,0.0,0.00013326412651903282,0.03884749706502839,0.16155961805792543,0.2376450058628785,0.012036042420051647,3.922676860585204,6.1692863190274165,128.6608095879007,0.0
0.25,balanced,Stable,0.0,1.322,0.0,0.0,6.591941378284049e-06,0.03770272314680963,0.12826311975049443,0.12428198298007019,0.011312305652076372,15.312502012464398,20.0,3782.31578117678,0.08750000000000001
0.25,aggressive,Stable,0.0,1.276,0.0,0.0,0.0018015384445776942,0.027734350279987396,0.08273532212292238,0.11662724242397626,0.00609258912224731,31.907832658580457,20.0,21769.781083115453,0.7875
0.25,soft,Stable,0.0,2.214,0.0,0.0,0.00016975799986432012,0.04882527594785524,0.20366550383367743,0.3002256898632988,0.019013528286960416,6.234110080760251,7.71160789878427,198.92885758990647,0.0
0.3,balanced,Stable,0.0,2.5679999999999996,0.0,0.0,8.111061594072234e-06,0.0461261917504612,0.157812989854864,0.15330855916906244,0.016935259774229165,21.965429541200265,20.0,3953.5298618749,0.2625
0.3,aggressive,Stable,0.0,1.6540000000000001,0.0,0.0,0.002342462901208801,0.034942000093353284,0.10721122097511665,0.1519181836738302,0.009679984193895626,40.14957364814519,20.0,24121.50578431829,0.9625
0.3,soft,Stable,0.0,2.286,0.0,0.0,0.00020865696653587688,0.05898966841438537,0.24696208153920743,0.3649972155437655,0.02775520725097486,9.167160595671929,9.253929478541124,282.8491629095128,0.0
0.35,balanced,Stable,0.0,2.802,0.0,0.0,9.775167585998466e-06,0.05535004062266215,0.19074315843892153,0.18584594668386914,0.024392643229284982,29.544913174329896,20.0,4137.699068396611,0.4625000000000001
0.35,aggressive,Stable,0.0,1.96,0.0,0.0,0.0029664641193293617,0.04277012674275312,0.1351797249233745,0.19274946513041652,0.014515421018965875,48.9175177345361,20.0,26731.507273998082,1.1875
0.35,soft,Stable,0.0,3.976,0.0,0.0,0.0002507822549977548,0.06938786894221394,0.2917351650797318,0.4324769485488389,0.038404539992980394,12.794091545656565,10.796251058297978,379.36909674018693,0.0
0.4,balanced,Stable,0.0,2.968,0.0,0.0,1.1618456712511969e-05,0.0655100014679687,0.22769240681883485,0.2225982857066534,0.03418106545903565,38.27556777944248,20.0,4375.672215116983,0.6625000000000001
0.4,aggressive,Stable,0.0,2.218,0.0,0.0,0.003686060352065855,0.05127504529050609,0.16711162075718902,0.2399730127557269,0.020878288847070686,58.26241391617654,20.0,28747.442463223513,1.3875
0.4,soft,Stable,0.0,4.572,0.0,0.0,0.0002972090437223879,0.08007317622728552,0.33829939523094166,0.5032278105927885,0.05114653154669481,17.20797057529922,12.338572638054833,487.3635125869853,0.0
0.45,balanced,Stable,0.0,3.1039999999999996,0.0,0.0,1.3685824503842373e-05,0.07676567176851683,0.2693859942436287,0.2643716668105653,0.0469530328329979,48.4399908593385,20.0,4708.124000094349,0.9125000000000001
0.45,aggressive,Stable,0.0,2.4379999999999997,0.0,0.0,0.004515982455233929,0.06052932485331488,0.20355922204999286,0.2945922001156491,0.029115203542376743,68.33457478693627,20.0,31305.65088824433,1.6125
0.45,soft,Stable,0.0,4.854,0.0,0.0,0.00034928763033027793,0.09110668905669955,0.3870053214224376,0.5778670293025994,0.06621753079538346,22.527665667188558,13.880894217811687,605.7016344352453,0.0
0.5,balanced,Stable,0.0,3.2199999999999998,0.0,0.0,1.603971775912215e-05,0.08930256156037489,0.3166448203401801,0.3120817279390496,0.06356552990454666,60.3911632629872,20.0,5064.36770565825,1.1625
0.5,aggressive,Stable,0.0,2.63,0.0,0.0,0.005474287962338946,0.07062857261609791,0.245198834727528,0.3578375975267053,0.039667113351174926,79.27689040752593,20.0,34574.0956792411,1.8624999999999998
0.5,soft,Stable,0.0,5.066,0.0,0.0,0.000408742111127864,0.10255941442448906,0.43824692190296133,0.6570755407249425,0.08391850424793316,28.90476537821917,15.42321579756854,733.3322819677325,0.0
0.55,balanced,Stable,0.0,3.322,0.0,0.0,1.877221357808725e-05,0.10332251186348317,0.37032366476314477,0.3666905502726774,0.0851231827445893,74.6246187833032,20.0,5537.896014242662,1.4625000000000001
0.55,aggressive,Stable,0.0,2.8,0.0,0.0,0.006583521828975512,0.08169662629581814,0.29286603121298244,0.43124534294008254,0.05310552158526804,91.19851996301163,20.0,36786.057251527855,2.1125000000000003
0.55,soft,Stable,0.0,5.2379999999999995,0.0,0.0,0.00047800253577285734,0.11451494040857446,0.49246879820412987,0.7416048556793886,0.1046330992795563,36.53326712374221,16.965537377325397,869.3938188042674,0.0
0.6,balanced,Stable,0.0,3.4139999999999997,0.0,0.0,2.2029145074198536e-05,0.1190493465237294,0.4313103988276495,0.4291899646136043,0.11305032075486374,91.83002046601327,20.0,6145.026927993042,1.8125000000000002
0.6,aggressive,Stable,0.0,2.952,0.0,0.0,0.007872071036704826,0.09389132537729966,0.34760131708344366,0.516751318409516,0.07018222592231052,104.4061540574746,20.0,39531.94159977588,2.3875
0.6,soft,Stable,0.0,5.386,0.0,0.0,0.0005604550720175977,0.12707289444450082,0.5501801002981329,0.8322869045767998,0.12885245817308144,45.6633687159827,18.50785895708225,1013.3590683405432,0.0
0.65,balanced,Stable,0.0,3.4939999999999998,0.0,0.0,2.6056641603843313e-05,0.13672386793551386,0.5004593442957329,0.5004951691302579,0.14916221533705998,113.0468712171055,20.0,6879.774015989518,2.1625
0.65,aggressive,Stable,0.0,3.09,0.0,0.0,0.009377206957262445,0.10742181026567334,0.410750024814301,0.6168960844967972,0.09191606601810466,119.24041868428829,20.0,42850.67481712508,2.6875
0.65,soft,Stable,0.0,5.514,0.0,0.0,0.0006609300002124751,0.14035615107709842,0.6119805515899923,0.9300574245954696,0.15721569169444718,56.62381171238688,20.0,1159.3653374940445,0.0375
