method,final_return,steps_to_threshold
SAC,-363.633,8000
PPO,-1339.922,
Energy + LQR hybrid,-815.841,0

curve,env_steps,eval_return
SAC,4000,-1573.392
SAC,8000,-932.799
SAC,12000,-920.096
SAC,16000,-854.274
SAC,20000,-907.996
SAC,24000,-902.521
SAC,28000,-893.980
SAC,32000,-895.398
SAC,36000,-871.996
SAC,40000,-671.859
SAC,44000,-504.823
SAC,48000,-510.187
SAC,52000,-442.571
SAC,56000,-438.655
SAC,60000,-363.633
PPO,2048,-2444.143
PPO,4096,-2369.930
PPO,6144,-2253.900
PPO,8192,-2152.405
PPO,10240,-2114.604
PPO,12288,-2041.350
PPO,14336,-1974.083
PPO,16384,-1905.028
PPO,18432,-1892.352
PPO,20480,-1873.150
PPO,22528,-1842.073
PPO,24576,-1829.157
PPO,26624,-1858.510
PPO,28672,-1786.586
PPO,30720,-1758.591
PPO,32768,-1746.198
PPO,34816,-1668.471
PPO,36864,-1553.413
PPO,38912,-1583.885
PPO,40960,-1565.196
PPO,43008,-1523.141
PPO,45056,-1562.408
PPO,47104,-1500.968
PPO,49152,-1477.116
PPO,51200,-1459.691
PPO,53248,-1445.311
PPO,55296,-1426.075
PPO,57344,-1417.936
PPO,59392,-1339.476
PPO,61440,-1339.922
